name,nationality,sport
Jens Lehmann,{East Germany|Stolberg (Harz)},Track cyclist
Alicia Kinoshita,NULL,Sailor
Lionel Plumenail,France,Fencer
Liu Ailing,NULL,Association football player
France Gareau,NULL,Athletics (sport) competitor
Franck Badiou,NULL,Sport shooter
Frankie Fredericks,{South-West Africa|Windhoek},Athletics (sport) competitor
Nick Gillingham,NULL,Swimmer
Herta Anitas,NULL,Olympic rower of Romania
Hollis Conway,NULL,Athletics (sport) competitor
Huang Chung-yi,{Hualien County|Taiwan Province},Baseball player
Ilija Lupulesku,Serbia,Table tennis player
Charlie Ogletree,Greenville North Carolina,American sailor and Olympic silver medalist
Chris Kappler,{Illinois|St. Charles Illinois},Equestrian
Chris Lindberg,Canada,Canadian ice hockey player
Christian Reich,Aarau,Bobsledder
Christine Larsen,NULL,Synchronized swimmer
Christophe Gagliano,NULL,Judoka
Clayton Fredericks,NULL,Equestrian
Sean Burke,Canada,Ice hockey player
Cao Mianying,NULL,Rower
Carlos Mercenario,Mexico City,Athletics (sport) competitor
Cathrine Roll-Matthiesen,NULL,Handball player
Chang Cheng-hsien,NULL,Baseball player
Colette Brand,NULL,Freestyle skier
Kerstin Behrendt,NULL,Athletics (sport) competitor
Irina Belova,NULL,Athletics (sport) competitor
Irina Kalimbet,NULL,Soviet rower
Irina Kuhnt,NULL,Field hockey player
Irina Privalova,Soviet Union,Athletics (sport) competitor
Elin Nilsen,NULL,Cross-country skier
Elisa Uga,Italy,Fencer
Emanuela Pierantozzi,NULL,Judoka
Eric Lamaze,Canada,Equestrian
Espen Bredesen,Oslo,Norwegian ski jumper
Thomas Brinkmann,NULL,Olympic medalist
Thoralf Peters,Germany,Olympic rower
Tina Peters,NULL,Field hockey player
Gonnelien Rothenberger,Weert,Equestrian
Hamilton de Souza,NULL,Brazilian footballer
Yoshimi Kobayashi,NULL,Olympic softball player
Yuri Bashkatov,Moldova,Olympic Swimmer
Gabriela Pérez del Solar,Ica Peru,Peruvian volleyball player and politician
Patrick Kühl,{Mecklenburg-Vorpommern|Güstrow},Swimmer
Pedro Francisco García,NULL,Water polo player
Peter Gentzel,NULL,Handball player
Denis Petrov,Soviet Union,Figure skater
Deon Hemmings,NULL,Athletics (sport) competitor
Dmitri Dugin,NULL,Water polo player
Doina Ignat,NULL,Rower
Rostyslav Zaulychnyi,NULL,Ukrainian boxer
Mikhail Nestruyev,NULL,Sport shooter
Mildred Muis,NULL,Swimmer
Minarti Timur,{East Java|Surabaya},Badminton player
Miriam Gallardo,NULL,Volleyball player
Tomas Svensson,NULL,Handball player
Tomoaki Sato,Aichi Prefecture,Olympic baseball player
Toni Kukoč,{Socialist Federal Republic of Yugoslavia|Socialist Republic of Croatia|Split Croatia},Croatian basketball player
Torsten Gutsche,NULL,Canoe racer
Ulrike Holzner,Mainz,Bobsledder
Valeri Zelepukin,Soviet Union,Russian ice hockey player Russian ice hockey player
Sergei Polyakov,NULL,Sport shooter
Shi Guihong,NULL,Association football player
Shim Jae-Hong,NULL,Handball player
Simone Osygus,Wuppertal,Swimmer
Siniša Školneković,NULL,Water polo player
Stefani Werremeier,NULL,Rower
Heather McDermid,Calgary,Rower
Klaus-Dieter Petersen,NULL,Handball player
Knut Tore Apeland,Vinje,Norwegian Nordic combined skier
Ku Kuo-Chian,NULL,Baseball player
Laurence Bidaud,NULL,Curler
Laurent Daignault,NULL,Short-track speed skater
Lea Ann Parsley,NULL,Skeleton racer
Marianne Muis,NULL,Swimmer
Mark Crear,United States,American hurdler
Mark Tewksbury,{Alberta|Calgary},Swimmer
Marko Klok,Netherlands,Volleyball player
Markus Wasser,NULL,Bobsledder
Jan Boersma,NULL,Sailor
Jana Novotná,Czechoslovakia,Czech tennis player
Janne Ojanen,Finland,Ice hockey player
Jay Stacy,NULL,Field hockey player
Johann Olav Koss,NULL,Speed skater
John Coyle,NULL,Short-track speed skater
Joy Fawcett,United States,Association football player
Jury Sukhorukov,NULL,Sport shooter
Jutaro Kimura,Japan,Olympic baseball player
Károly Güttler,Budapest,Swimmer
Artur Dmitriev,{Ukrainian Soviet Socialist Republic|Bila Tserkva},Figure skater
Astrid Strauss,{East Berlin|East Germany},Swimmer
Anikó Kántor,Budapest,Hungarian handball player
Anja Fichtel,Germany,Fencer
Anky van Grunsven,NULL,Equestrian
Anne Briand,NULL,French biathlete
Annette Dobmeier,Germany,Fencer
Annette Skotvoll,NULL,Handball player
Antonio Peñalver,Alhama de Murcia,Retired Spanish decathlete
Antonio Rossi,Lecco,Italian canoeist
Oksana Grishina,Russia,Russian racing cyclist
Olga Romasko,NULL,Russian biathlete
Olof van der Meulen,Netherlands,Volleyball player
Oluyemi Kayode,NULL,Nigerian sprinter
Rachael Sporn,{Murrayville Victoria|Victoria (Australia)},Basketball player
Rachid El Basir,NULL,Athletics (sport) competitor
Randy Bartz,NULL,Short-track speed skater
René Hannemann,{Brandenburg|Bad Belzig},Bobsledder
Peter Thiede,NULL,Rower
Pier Alberto Carrara,Serina Lombardy,Italian biathlete
Pippa Funnell,{Crowborough|East Sussex},Equestrian
Qiao Hong,China,Table tennis player
Alejandra de la Guerra,NULL,Volleyball player
Richard Hart,{Ontario|Toronto},Curler
Richard Igbineghu,{Oyo State|Ibadan},Boxer
Susi Erdmann,NULL,Bobsledder and luger
Svetlana Korytova,Russia,Volleyball player
Svetlana Petcherskaia,NULL,Russian biathlete
Takashi Kurosu,Saitama Prefecture,Olympic baseball player
Teppo Numminen,Finland,Ice hockey player
Girolamo Giovinazzo,Rome,Judoka
Monique Garbrecht,NULL,Speed skater
Naomi Matsumoto,NULL,Softball player
Beniamino Bonomi,NULL,Canoe racer
Bianca Weiß,NULL,Field hockey player
Birte Weigang,NULL,Swimmer
Brad Schlegel,Canada,Canadian ice hockey defenceman
Brandi Chastain,United States,Soccer player
Bruno Risi,Switzerland,Swiss racing cyclist
Vasile Măstăcan,Romania,Olympic Rower
Vibeke Johnsen,NULL,Handball player
Vlade Divac,{Socialist Federal Republic of Yugoslavia|Socialist Republic of Serbia|Prijepolje},Basketball player
Volker Zerbe,NULL,German handball player
Wang Huifeng,NULL,Fencer
Wang Xiaohong,NULL,Swimmer
Wang Ying,NULL,Softball player
Jean-Philippe Gatien,France,Table tennis player
Jesús Rollán,NULL,Water polo player
Jim Bilba,NULL,Basketball player
Joé Juneau,Canada,Ice hockey player
Alfredo Duvergel,Guantánamo,Boxer
Amy Fuller,NULL,Rower
Amy White,Redondo Beach California,American swimmer Olympic silver medalist
Anders Bäckegren,NULL,Handball player
Anders Holmertz,{Östergötland|Motala},Swimmer
André Cruz,Brazil,Association footballer
Andreas Tews,NULL,Boxer
Andrew Trim,Australia,Canoe racer
Leo Peelen,Arnhem,Dutch racing cyclist
Li Lei,NULL,Softball player
Li Yan,NULL,Short track speed skater
Liao Ming-Hsiung,NULL,Baseball player
Lim Jin-Suk,NULL,Handball player
Lin Kun-han,NULL,Baseball player
Lisa Alexander,NULL,Synchronized swimmer
Liu Xuqing,NULL,Softball player
Lorenzo Bernardi,NULL,Volleyball player
Falilat Ogunkoya,Nigeria,Nigerian sprinter
Francesca Bortolozzi-Borella,Italy,Fencer
Mary Lou Retton,Fairmont West Virginia,Former gymnast
Masahiko Harada,{Hokkaido|Kamikawa Hokkaido},Japanese ski jumper
Masanori Sugiura,NULL,Baseball player
Niki Bakoyianni,Greece,Greek high jumper
Nikolaos Kaklamanakis,NULL,Sailor
Noemi Lung,Romania,Swimmer
Hermenegildo García,NULL,Fencer
Hideo Nomo,Osaka,Baseball player
Hu Yadong,NULL,Olympic rower
Cheah Soon Kit,{Ipoh|Perak},Malaysian badminton player
Chen Zihe,NULL,Table tennis player
Christine Ferneck,NULL,Field hockey player
Sabine Eichenberger,NULL,Canoe racer
Salvador Gómez,NULL,Water polo player
Samuel Matete,Zambia,Zambian 400 m hurdler
Sandie Richards,NULL,Athletics (sport) competitor
Sandy Brondello,Australia,Basketball player
Scott Donie,NULL,Diver
Carla Overbeck,United States women's national soccer team,Association football player
Carrie Steinseifer,Redwood City California,American swimmer Olympic gold medalist
Chang Wen-Chung,NULL,Baseball player
Daniel Dumitrescu,NULL,Boxer
Jon Drummond,Philadelphia,American track athlete
Kay Bluhm,NULL,Canoe racer
Kenan Şimşek,Ordu,Olympic wrestler
Kevin Dahl,Canada,Ice hockey player
Inna Lasovskaya,NULL,Athletics (sport) competitor
Isabell Werth,NULL,Equestrian
Jörg Roßkopf,Germany,Table tennis player
Erzsébet Márkus,Sopron,Weightlifter
Thierry Gadou,NULL,Basketball player
Thomas Endres,Germany,German fencer
Thorsten Streppelhoff,Germany,Olympic rower
Tim Young,Philadelphia,Silver medal-winning rower in the quadruple sculls at the 1996 Summer Olympics
Todd Hays,NULL,Bobsledder
Maarten van der Linden,NULL,Rower
Grahame Cheney,NULL,Boxer
Guido Acklin,NULL,Bobsledder
Hakkı Başar,Sakarya Province,Olympic wrestler
Halvard Hanevold,NULL,Norwegian biathlete
Yan Fang,NULL,Chinese softball player
Ye Chong,China,Chinese fencer
Yelena Dendeberova,Soviet Union,Swimmer
Yelena Shushunova,Soviet Union,Gymnast
Yoto Yotov,NULL,Bulgarian weightlifter
Zhou Shouying,NULL,Chinese Rower
Zoran Primorac,NULL,Table tennis player
Fred Børre Lundberg,Norway,Norwegian Nordic combined skier
Fulvio Valbusa,NULL,Cross-country skier
Gao Jun,China,Table tennis player
Garrett Hines,NULL,American bobsledder
Paul Gonzalez,NULL,Baseball player
Paul Tergat,NULL,Athletics (sport) competitor
Pavel Kolobkov,Russia,Fencer
Pavlo Khnykin,{Sverdlovsk Oblast|Yekaterinburg},Swimmer
Peta Edebone,NULL,Softball player
Dieter Thoma,NULL,Ski jumper
Ronny Weller,NULL,Weightlifter
Ruslan Olikhver,NULL,Volleyball player
Michellie Jones,Fairfield New South Wales,Triathlete
Midori Ito,NULL,Figure skater
Milenko Topić,Serbia,Serbian basketball player
Tomasz Łapiński,Poland,Footballer
Tommy Souraniemi,NULL,Handball player
Toshiyuki Kuroiwa,NULL,Speed skater
Vadim Khamuttskikh,NULL,Volleyball player
Valérie Barlois-Mevel-Leroux,France,Fencer
Valentina Turisini,NULL,Olympic silver small-bore rifle
Serafim Todorov,Bulgaria,Boxer
Sergei Fedorov,Soviet Union,Ice hockey player
Sergei Golubitsky,Ukraine,Fencer
Sergi Pedrerol,NULL,Water polo player
Sonia O'Sullivan,NULL,Athletics (sport) competitor
Stefania Belmondo,Italy,Former Italian skier
Steffi Graf,{West Germany|Baden-Württemberg|Mannheim},German tennis champion
Stephan Eberharter,NULL,Alpine skier
Stephen John Davies,NULL,Field hockey player
Steve Backley,England,British javelin thrower
Steve Lewis,Los Angeles,Athletics (sport) competitor 400 meter runner
Hege Frøseth,NULL,Handball player
Kuo Lee Chien-Fu,NULL,Baseball player
Lachlan Elmer,NULL,Field hockey player
María Quintanal,NULL,Sport shooter
Mark Astley,Canada,Canadian ice hockey player
Janeth Arcain,Brazil,Basketball player
Jason Woolley,Canada,Canadian ice hockey player
Javier Bosma,{Girona|Roses Girona},Volleyball player
Eduard Zenovka,NULL,Soviet modern pentathlete
Eeke van Nes,Delft,Rower
John LeClair,United States,American ice hockey player
Juan Dinarés,NULL,Field hockey player
Juan Escarré,NULL,Field hockey player
Juan Hernández Sierra,NULL,Boxer
Karen Fonteyne,NULL,Synchronized swimmer
Artur Partyka,NULL,Athletics (sport) competitor
Ashley Carey,NULL,Field hockey player
Beatrix Kökény,Hungary,Hungarian handball player
Angela Cutrone,NULL,Short-track speed skater
Angelika Neuner,NULL,Luger
Ognjen Kržić,NULL,Water polo player
Olapade Adeniken,NULL,Athletics (sport) competitor
Olivier Allamand,NULL,Freestyle skier
Oscar Macías,NULL,Baseball player
Paea Wolfgramm,Tonga,Tongan boxer
Randy Jones,Winston-Salem North Carolina,Bobsledder
René Rensch,NULL,Rower
Riccardo Dei Rossi,Trieste,Rower
Philippe Ermenault,France,Track cyclist
Alexander Moskalenko,NULL,Gymnast
Robert Andersson,NULL,Handball player
Robert Scott,NULL,Rower
Sylvain Curinier,Lons-le-Saunier,Canoe racer
Takanori Kono,NULL,Japanese Nordic combined skier
Tanja Dickenscheid,NULL,Field hockey player
Danira Bilić,NULL,Croatian basketball player
Dariusz Adamczuk,Poland,Polish footballer
Dariusz Gęsior,Poland,Polish footballer
Dave Archibald,Canada,Ice hockey player
Dave Nilsson,{Queensland|Brisbane},Baseball player
Gianna Hablützel-Bürki,Basel,Fencer
Nancy Kerrigan,Woburn Massachusetts,American figure skater
Brad Werenka,Canada,Canadian ice hockey defenceman
Brian Jamieson,Livingston New Jersey,Rower
Bryan Steel,Nottingham,English racing cyclist
Vladimir Predkin,Saint Petersburg,Swimmer
Jean-Yves Roy,Canada,Ice hockey player
Jeffrey Lay,NULL,Rower
Jeffrey Thue,NULL,Olympic wrestler
Joško Kreković,NULL,Water polo player
Joan Llaneras,Spain,Spanish racing cyclist
Alina Astafei,Romania,Athletics (sport) competitor
Andrea Farkas,Hungary,Hungarian handball goalkeeper and coach
Andrei Trefilov,Soviet Union,Russian ice hockey player
Li Xin,NULL,Basketball player
Lin Chao-Huang,NULL,Baseball player
Fermín Cacho,NULL,Athletics (sport) competitor
Fiona May,Slough,Athletics (sport) competitor
Francesco D'Aniello,NULL,Sport shooter
Marthe Eliasson,NULL,Handball player
Nino Salukvadze,Georgia (country),Sport shooter
Hideaki Okubo,Japan,Olympic baseball player
Christer Wallin,NULL,Swimmer
Christian Schwarzer,Braunschweig,Handball player
Saša Obradović,{Socialist Federal Republic of Yugoslavia|Belgrade|Socialist Republic of Serbia},Serbian basketball player and coach
Sabine Bau,Germany,Fencer
Sandra Wagner-Sachse,NULL,Archer
Sarah Hardcastle,Chelmsford,Swimmer
Abbas Jadidi,Iran,Iranian wrestler and Olympic medalist
Adriana Behar,Brazil,Volleyball player
Caroline Brunet,NULL,Canoe racer
Wen Lirong,NULL,Association football player
William Fox-Pitt,Hampstead,Equestrian
Collin Mitchell,{The Bahamas|Freeport Bahamas},Curler
Dagmar Hase,{Quedlinburg|Saxony-Anhalt},Swimmer
José Chamot,Argentina,Argentine footballer
José Ibar,NULL,Baseball player
Karen Kraft,San Mateo California,Olympic medalist in rowing
Karen Nystrom,Canada,Ice hockey player
Karin Brienesse,NULL,Swimmer
Katherine Horny,NULL,Volleyball player
Katrin Borchert,NULL,Canoe racer
Kerstin Kielgass,{East Berlin|East Germany},Swimmer
Kim Batten,NULL,Athletics (sport) competitor
Ioan Vizitiu,NULL,Rower
Irina Gerasimenok,NULL,Sport shooter
Iván Kovács,Hungary,Fencer
Jacek Fafiński,NULL,Olympic wrestler
Eric Mueller,NULL,Olympic medalist in rowing
Eric Namesnik,Butler Pennsylvania,American swimmer Olympic silver medalist
Erik Dekker,Netherlands,Dutch racing cyclist
Ernesto Pérez,NULL,Judoka
Thomas Rudolph,{Erfurt|Thuringia},Luger
Timur Taymazov,NULL,Weightlifter
Todd Hlushko,Canada,Canadian ice hockey player
Lukáš Pollert,Czechoslovakia,Canoe racer
Malik Beyleroğlu,NULL,Boxer
Grigory Misutin,NULL,Gymnast
Wolfram Waibel Jr.,Hohenems,Olympic sport shooter
Xu Jian,NULL,Chinese softball player
Yap Kim Hock,{Muar District|Johor},Malaysian badminton player
Yukio Iketani,NULL,Gymnast
Yves Mankel,{Thuringia|Gotha},Luger
Zhang Chunfang,NULL,Chinese softball player
Franziska Hentschel,NULL,Field hockey player
Gabriela Sabatini,Buenos Aires,Tennis player
Gareth Marriott,Mansfield,Canoe racer
Patrick Lebeau,Canada,Canadian ice hockey player
Paul Bitok,NULL,Athletics (sport) competitor
Pauline Konga,NULL,Athletics (sport) competitor
Pepijn Aardewijn,Amsterdam,Olympic rower
Pernilla Wiberg,Sweden,Alpine skier
Derek Parra,San Bernardino California,Speed skater
Diederik Simon,{North Holland|Bloemendaal},Dutch rower
Diego Simeone,Argentina,Argentine footballer and manager
Rubén Michavila,NULL,Water polo player
Ruslana Taran,NULL,Sailor
Michał Śliwiński,NULL,Polish canoeist
Miguel Caldés Luis,NULL,Olympic baseball player
Mike Modano,United States,American ice hockey player
Mike Wolfs,NULL,Canadian sailor
Mirosław Waligóra,Poland,Polish footballer
Tony Amonte,United States,American ice hockey player
Tore Brovold,NULL,Sport shooter
Tosha Tsang,Canada,Olympic Rower
Uschi Disl,Germany,German biathlete
Sergey Lishtvan,NULL,Olympic wrestler
Sergey Shupletsov,NULL,Freestyle skier
Silke Kraushaar-Pielach,Sonneberg,Luger
Silvia Poll,Managua,Swimmer
Simone Thomaschinski,NULL,Field hockey player
Stefan Lövgren,Sweden,Handball player
Steve Anderhub,NULL,Bobsledder
Haruka Saito,NULL,Olympic softball player
Heike Friedrich,{Saxony|Chemnitz},Swimmer
Henriette Henriksen,NULL,Handball player
Kjell Storelid,NULL,Speed skater
Kjetil Undset,NULL,Rower
Konstantin Ushakov,NULL,Volleyball player
Laura Badea-Cârlescu,Romania,Fencer
Laura Schuler,Canada,Ice hockey player
Laurel Korholz,NULL,Olympic medalist and coach in rowing
Lee Bodimeade,NULL,Field hockey player and coach
Marc Huster,{East Germany|Altdöbern},German weightlifter
Marco Rudolph,NULL,Boxer
Marek Bajor,Poland,Polish footballer
Maria Păduraru,NULL,Rower
Marie Lindgren,NULL,Freestyle skier
Mark Dragunski,NULL,Handball player
Mark Kirchner,NULL,German biathlete
Marko Asell,NULL,Olympic wrestler
Jason Gailes,Dighton Massachusetts,Olympic medalist in rowing
Jaume Amat,NULL,Field hockey player
Dwayne Norris,Canada,Ice hockey player
Eden Donatelli,{British Columbia|Mission British Columbia},Canadian speed skater
Elfi Eder,NULL,Alpine skier
Elien Meijer,NULL,Rower
John Forbes,NULL,Sailor
Barbara Wolnicka-Szewczyk,Poland,Fencer
Anikó Nagy,Sajószentpéter,Handball player
Annett Neumann,Lauchhammer,German racing cyclist
Ardy Wiranata,NULL,Badminton player
Arijan Komazec,{Socialist Federal Republic of Yugoslavia|Zadar|Socialist Republic of Croatia},Basketball player
Artem Khadjibekov,NULL,Sport shooter
Oktay Urkal,Berlin,Boxer
Oleg Ovsyannikov,Moscow,Russian ice dancer
Olena Ronzhyna,NULL,Ukrainian rower
Olga Danilova,NULL,Cross-country skier
Olga Kuzenkova,NULL,Athletics (sport) competitor
Olimpiada Ivanova,NULL,Olympic race walker
Olivier Moncelet,Nantes,Rower
Pai Kun-Hong,NULL,Baseball player
Pasquale Gravina,Italy,Volleyball player
Rafael Lozano,Córdoba Andalusia,Boxer
Rajyavardhan Singh Rathore,NULL,Sport shooter
Renato Vrbičić,NULL,Water polo player
Ricco Groß,Germany,German biathlete
Peter Schlickenrieder,NULL,Cross-country skier
Pierre Lueders,Canada,bobsledder
Piet Norval,South Africa,South African tennis player
Predrag Danilović,{Sarajevo|Socialist Federal Republic of Yugoslavia|Socialist Republic of Bosnia and Herzegovina},Professional basketball player
Alan Gregov,NULL,Croatian basketball player
Aleksander Kłak,Poland,Polish footballer
Aleksandr Beketov,Russia,Fencer
Alessandra Sensini,Italy,Sailor
Alexei Zhamnov,Soviet Union,Russian ice hockey player
Rintje Ritsma,Netherlands,Speed skater
Susann Goksør Bjerkrheim,NULL,Handball player
Sylvain Gagnon,NULL,Short track speed skater
Szilveszter Csollány,NULL,Gymnast
Takanobu Okabe,{Hokkaido|Shimokawa Hokkaido},Japanese ski jumper
Takao Kuwamoto,Japan,Olympic baseball player
Teemu Selänne,Finland,Finnish ice hockey player
Dariusz Koseła,Poland,Polish footballer
Dariusz Szubert,Poland,Polish footballer
David Defiagbon,Nigeria,Boxer
Gianfranco Martin,NULL,Alpine skier
Gil Young-ah,NULL,female badminton player from South Korea
Giovanna Trillini,Italy,Fencer
Giovanni Pellielo,NULL,Sport shooter
Mona Dahle,NULL,Handball player
Moses Kiptanui,NULL,Athletics (sport) competitor
Natalia Mishkutenok,{Minsk|Byelorussian Soviet Socialist Republic},Figure skater
Beverly McDonald,NULL,Athletics (sport) competitor
Bill Guerin,{Worcester Massachusetts|Wilbraham Massachusetts},American ice hockey player
Brigita Bukovec,NULL,Athletics (sport) competitor
Vicky Sunohara,Canada,Ice hockey player
Viktor Jelenić,NULL,Water polo player
Vladimir Pyshnenko,Rostov-on-Don,Swimmer
Wang Lihong,NULL,Softball player
Jeff Rouse,Fredericksburg Virginia,American swimmer Olympic gold medalist former world record-holder
Jeremy Roenick,United States,American ice hockey player
Alison Korn,Ottawa,Rower
Allain Roy,NULL,Canadian ice hockey goaltender
Andrea Giani,NULL,Volleyball player
Andreas Wecker,Staßfurt,Gymnast
Andrei Kovalenko,Soviet Union,Ice hockey player
Andrzej Juskowiak,Poland,Polish footballer
Andrzej Kobylański,Poland,Polish footballer
Leontien van Moorsel,Netherlands,Dutch racing cyclist
Li Duihong,NULL,Sport shooter
Li Jing,NULL,Gymnast
Faissal Ebnoutalib,NULL,Taekwondo practitioner
Matt Lindland,Oregon City Oregon,Olympic wrestler mixed martial artist and politician
Melanie Roche,NULL,Softball player
Nicola Fairbrother,Henley-on-Thames,Judoka
Nikolaj Pešalov,NULL,Croatian weightlifter of Bulgarian descent
Noriko Yamaji,NULL,Japanese softball player
Huang Xiaomin,NULL,Swimmer
Ian Walker,NULL,Sailor
Igor Skalin,NULL,Sailor
Ihor Razoronov,NULL,Weightlifter
Ildikó Pádár,Heves,Hungarian handball player
Chen Hong,NULL,Softball player
Chen Yufeng,NULL,Association football player
Claudinei da Silva,NULL,Athletics (sport) competitor
Abraham Olano,Spain,Racing cyclist
Adiel Palma,NULL,Baseball player
Adrien Plavsic,Canada,Canadian ice hockey defenceman
Camelia Voinea,Romania,Gymnast
Caren Jungjohann,NULL,Field hockey player
Cari Read,NULL,Synchronized swimmer
Carin ter Beek,NULL,Rower
Celestina Popa,Romania,Gymnast
Wayne McCullough,{Belfast|Nevada|Northern Ireland|Las Vegas Valley},Boxer
Crawford Palmer,NULL,Basketball player
Crissy Ahmann-Leighton,Yankton South Dakota,American swimmer Olympic gold medalist
Dag Bjørndalen,NULL,Norwegian biathlete
Dagmar Kersten,Altdöbern,Former gymnast
Dan Ratushny,Canada,Ice Hockey Player
Jordi Arnau,NULL,Field hockey player
José Antonio Escuredo,Spain,Track cyclist
Karsten Finger,NULL,Rower
Kim Mi-Sim,NULL,Handball player
Žan Tabak,{Socialist Federal Republic of Yugoslavia|Socialist Republic of Croatia|Split Croatia},Croatian basketball player
Ingo Borkowski,NULL,Sailor
Isabelle Charest,NULL,Short-track speed skater
Islam Bairamukov,NULL,Olympic wrestler
Iulica Ruican,NULL,Rower
Iván Trevejo,Cuba,Fencer
Jaime Fernandez,NULL,Rower
Elvis Gregory,Cuba,Fencer
Emma Robinson,Montreal,Rower
Erik Jazet,NULL,Field hockey player
Eugenia Golea,Romania,Gymnast
Thomas Prugger,NULL,Italian snowboarder 1998 Olympic silver in Giant Slalom
Todd Woodbridge,Australia,Australian tennis player
Luzia Ebnöther,NULL,Curler
Greg Johnson,Canada,Ice hockey player
Gregory Corbitt,NULL,Field hockey player
Grzegorz Mielcarski,Poland,Polish footballer
Guivi Sissaouri,NULL,Olympic wrestler
Wilma van Hofwegen,NULL,Swimmer
Yelena Tyurina,NULL,Volleyball player
Yeo Hong-Chul,South Korea,Korean gymnast
Zé Marco de Melo,{João Pessoa|Paraíba},Volleyball player
Zdeslav Vrdoljak,NULL,Water polo player
Gábor Horváth,NULL,Hungarian canoe racer
Pavel Bure,Soviet Union,Russian professional ice hockey player
Pavel Rostovtsev,NULL,Russian biathlete
Peter Hoeltzenbein,Münster,Rower
Dennis Hall,United States,Olympic wrestler
Diana van der Plaats,Utrecht,Swimmer
Dmitri Svatkovskiy,Russia,Pentathlete
Dmitri Yushkevich,Soviet Union,Russian ice hockey player
Doug Weight,United States,American ice hockey player
Rolando Meriño,NULL,Baseball player
Ryszard Staniek,Poland,Polish footballer
Sébastien Foucras,NULL,Freestyle skier
Sébastien Godefroid,NULL,Olympic sailor
Misako Ando,NULL,Olympic softball player
Tomas Sivertsson,NULL,Handball player
Tomasz Wałdoch,{Gdańsk|Poland national football team},Polish footballer
Tomasz Wieszczycki,Poland,Polish footballer
Tonje Sagstuen,NULL,Handball player
Tripp Schwenk,Sarasota Florida,American swimmer Olympic gold medalist former world record-holder
Sergey Klevchenya,NULL,Speed skater
Sergi Bruguera,{Barcelona|Catalonia},Spanish tennis [player]
Hans Knauß,NULL,Alpine skier
Kjetil André Aamodt,Oslo,Norwegian Alpine skier
Kristine Lilly,United States,Soccer player
Krisztián Kulcsár,Hungary,Fencer
Lasse Kjus,Oslo,Alpine skier
Laura Chiesa,Italy,Fencer
Laura Flessel-Colovic,{Guadeloupe|Petit-Bourg},Fencer
Marcin Jałocha,Poland,Polish footballer
Marek Koźmiński,Poland,Polish footballer
Mari Holden,United States,American racing cyclist
Mark Grimmette,NULL,American luger
Markus Baur,NULL,Handball player
Markus Nüssli,NULL,Bobsledder
Maro Balić,NULL,Water polo player
Jair Lynch,United States,Gymnast
Jan Hempel,NULL,Diver
Janel Jorgensen,United States,American swimmer Olympic silver medalist
Janet Evans,Fullerton California,American swimmer Olympic gold medalist world champion world record-holder
Jari Mantila,NULL,Finnish Nordic combined skier
Du'aine Ladejo,NULL,Athletics (sport) competitor
Edward Murphy,West Newton Massachusetts,Olympic medalist in rowing
John Merricks,United Kingdom,Sailor
Juan Marén,NULL,Olympic wrestler
Julie Foudy,{San Diego|United States women's national soccer team},Association football player
Jung Sun-Yong,NULL,Judoka
Ann-Elen Skjelbreid,NULL,Norwegian biathlete
Anneke Venema,NULL,Rower
Annelise Coberger,NULL,Alpine skier
Antoaneta Frenkeva,NULL,Bulgarian swimmer
Antoine Rigaudeau,NULL,Basketball player
Arantxa Sánchez Vicario,Barcelona,Tennis player
Arjen Teeuwissen,NULL,Equestrian
Odd-Bjørn Hjelmeset,Norway,Cross-country skier
Oleg Shevtsov,Soviet Union,Russian ice hockey player
Orhan Delibaş,NULL,Boxer
Osmond Ezinwa,NULL,Nigerian sprinter
Ou Jingbai,NULL,Softball player
Rafał Szukała,{Poznań|Greater Poland Voivodeship},Swimmer
Ralf Bißdorf,Germany,Fencer
Ramón Sala,NULL,Field hockey player
Ricardo Sánchez,NULL,Water polo player
Petr Nedvěd,Czechoslovakia,Canadian ice hockey player
Picabo Street,United States,Alpine skier
Alexander Popov,Soviet Union,Russian swimmer
Alfred Ter-Mkrtychyan,Armenia,Olympic wrestler
Robert Merrick,NULL,Sailor
Sven Fischer,NULL,German biathlete
Tan Zongliang,NULL,Sport shooter
Daniel Petrov,Varna,Boxer
Daniela Baumer,NULL,Canoe racer
Darren Bundock,NULL,Sailor
David Harlock,Canada,Canadian ice hockey defenceman
David Weightman,NULL,Rower
Davidson Ezinwa,Nigeria,Nigerian sprinter
Namig Abdullayev,Azerbaijani people,Wrestler
Natalia Ivanova,NULL,Taekwondo practitioner
Beth Barr,United States,American swimmer Olympic silver medalist
Bjarte Engen Vik,Tromsø,Norwegian nordic combined skier
Brian Savage,Canada,Ice hockey player
Briana Scurry,United States women's national soccer team,Soccer player
Brigitte Guibal,NULL,Canoe racer
Bruno Prada,NULL,Sailor
Vladimir Selkov,Russia,Swimmer
Vladislav Kulikov,Russia,Swimmer
Jerzy Brzęczek,Poland,Polish footballer
Amy Peterson,NULL,Short track speed skater
An Zhongxin,NULL,Softball player
Andrea Sartoretti,NULL,Volleyball player
Andrus Veerpalu,Estonia,Cross-country skier
Leonidas Sabanis,{Korçë|People's Socialist Republic of Albania},Weightlifter
Lim O-Kyeong,NULL,Handball player
Lin Qisheng,NULL,Olympic weightlifter of China
Fatima Yusuf,NULL,Nigerian sprinter
Filip Meirhaeghe,Belgium,cyclist
Martin Frändesjö,NULL,Handball player
