name,nationality,sport
Stefano Bellone,Italy,Italian fencer
Steve Ovett,England,British middle-distance runner
Henk Numan,Amsterdam,Judoka
Konrad Winkler,NULL,German nordic combined skier
Kulbir Bhaura,NULL,Field hockey player
Marc Cerboni,NULL,Fencer
Marco Negri,NULL,Volleyball player
Margaret Knighton,NULL,Equestrian
Marian Sypniewski,Poland,Polish fencer
Marja-Liisa Kirvesniemi,{Rautjärvi|South Karelia},Cross-country skier
Earl Bell,NULL,American pole vaulter
Edwin Moses,{Dayton Ohio|Ohio},American 400 metres hurdler
Eigil Ramsfjell,NULL,Curler
Barbara Petzold,NULL,Cross-country skier
Anka Khristolova,NULL,Volleyball player
Anne Henning,NULL,Speed skater
Päivi Meriluoto,NULL,Archer
Rajko Žižić,{Nikšić|Socialist Federal Republic of Yugoslavia},Montenegrin basketball player
Revaz Chelebadze,Soviet Union,footballer
Ricardo Rojas Frías,NULL,Boxer
Pierre Durand Jr.,NULL,Equestrian
Piotr Cieśla,NULL,Polish handball player
Alexander Zavyalov,NULL,Soviet cross country skier
Richard Nowakowski,Poland,Boxer
Richard Priestman,NULL,Archer
Stoyanka Kurbatova,NULL,Rower
Sue Holloway,NULL,Canoe racer and cross country skier
Tanya Dimitrova,NULL,Volleyball player
Evelyn Matz,NULL,Handball player
Dave Rodger,NULL,Rower
David Townsend,United Kingdom,Rower
Momir Rnić,NULL,Handball player
Natalya Petrusyova,Pavlovsky Posad,Speed skater
Bernd Duvigneau,NULL,Canoe racer
Bo Berglund,Sweden,Ice hockey player
Borislav Ananiev,NULL,Canoe racer
Butch Johnson,United States,Archer
Vasile Andrei,Albești Ialomița,Wrestler
Verka Borisova,NULL,Volleyball player
Virginia Leng,United Kingdom,Equestrian
Włodzimierz Zieliński,NULL,Polish handball player
Anastasios Bountouris,NULL,Greek yacht racer
Andy Hoepelman,NULL,Water polo player
Leonid Nazarenko,{Gulkevichi|Russian Soviet Federative Socialist Republic},Russian footballer
Lorraine Moller,NULL,New Zealand distance runner
Lothar Krieg,NULL,German sprinter
François Barouh,NULL,Canoe racer
Frank Baumgartl,NULL,Athletics (sport) competitor
Frank Wartenberg,NULL,German long jumper
Maya Georgieva,NULL,Volleyball player
Neculai Vasilcă,NULL,Handball player
Nikolai Ilkov,NULL,Canoe racer
Hugh Fisher,New Zealand,Canoe racer
Sandro Bellucci,Italy,Athletics (sport) competitor
Carlos Salas,NULL,Volleyball player
Wendy Boglioli,Merrill Wisconsin,American swimmer Olympic gold medalist former world record-holder
Dan Harrigan,South Bend Indiana,American swimmer Olympic bronze medalist
Dan Immerfall,NULL,Speed skater
Dan Karabin,Nitra,Olympic wrestler
Daniel Carlisle,Houston,Former American Olympic sports shooter.
John Tate,Marion Arkansas,American boxer
Kenth Eldebrink,NULL,Athletics (sport) competitor
Khoren Oganesian,Soviet Union,Footballer
Éva Angyal,NULL,Hungarian handball players
Erhard Wunderlich,Augsburg,German handball player
Erik Christiansen,Copenhagen,Rower Rower
Thomas Hörster,{West Germany|Essen},German football player/manager/scout
Tinks Pottinger,NULL,Equestrian
Márta Egervári,Hungary,Gymnast
György Nébald,Hungary,Fencer
Håkan Eriksson,NULL,Swedish ice hockey player
Hanni Wenzel,{West Germany|Straubing},Alpine skier
Zoltán Verrasztó,Budapest,Swimmer
Fritz Fischer,NULL,German biathlete
Göran Lindblom,Sweden,Ice hockey player
Gael Martin,NULL,Australian shot putter and discus thrower
Peggy McCarthy,Urbana Illinois,Olympic medalists in rowing
Peter Lindmark,Sweden,Swedish ice hockey player
Detlef Richter,{Leipzig|Saxony},Bobsledder
Roland Wieser,NULL,Athletics (sport) competitor
Michèle Chardonnet,NULL,French athlete
Michael Musyoki,NULL,Athletics (sport) competitor
Mike Teti,Upper Darby Township Delaware County Pennsylvania,Olympic medalist in rowing
Mirko Puzović,NULL,Boxer
Sergey Andreyev,Soviet Union,footballer
Sergey Shavlo,{Ukrainian Soviet Socialist Republic|Nikopol Ukraine},footballer
Shane Gould,NULL,Swimmer
Silviya Petrunova,NULL,Volleyball player
Sonia Lannaman,Birmingham,British athlete
Sorin Macavei,Romania,Volleyball player
Steve Podborski,{Ontario|Toronto},Alpine skier
Hans Smits,NULL,Water polo player
Klaus Ploghaus,NULL,German hammer thrower
Klaus Wöller,NULL,German handball player
Koji Gushiken,NULL,Gymnast
Květa Jeriová,NULL,Cross-country skier
Larry Myricks,NULL,Long jumper
Lars Molin,Sweden,Ice hockey player
Lawrie Smith,United Kingdom,Sailor
Mark Precious,NULL,Field hockey player
Mark Todd,New Zealand,Equestrian
Jean-François Lamour,France,Fencer
Barbara Schüttpelz,NULL,Canoe racer
Ove Aunli,NULL,Cross-country skier
Raúl Vilches,NULL,Volleyball player
Rüdiger Helm,NULL,Canoe racer
Alex Boegschoten,NULL,Water polo player
Alexander Fölker,NULL,Handball player
Tatyana Lesovaya,NULL,Soviet discus throw
Tengiz Sulakvelidze,Soviet Union,footballer
Terence Neilson,NULL,Sailor
Dave Laut,NULL,Athletics (sport) competitor
Gert Frank,NULL,Danish racing cyclist
Giovanni Lanfranco,Italy,Volleyball player
Berit Aunli,NULL,Cross-country skier
Bernd Olbricht,NULL,Canoe racer
Beverley Goddard,NULL,British athlete
Bjarni Friðriksson,NULL,Judoka
Blagoy Blagoev,NULL,Weightlifter
Victoriano Sarmientos,NULL,Volleyball player
Viktor Rybakov,Soviet Union,Boxer
Viorel Manole,Romania,Volleyball player
Vladimir Fyodorov,Soviet Union,Russian footballer
Volker Grabow,Essen,Rower
Wang Linwei,NULL,Handball player
Jeff Madrigali,United States,Sailor
Jim Barton,United States,Sailor
Andrew Bennie,NULL,Equestrian
Leonard Nitz,NULL,American racing cyclist
Leslie Milne,United States,Field hockey player
Li Ronghua,NULL,Olympic rower
Frank Andersson,Sweden,Wrestler
