"","dataset","Sport"
"668","DBPedia","Ice Hockey"
"669","DBPedia","Ice Hockey"
"670","DBPedia","Handball"
"671","DBPedia","Basketball"
"672","DBPedia","Ice Hockey"
"673","DBPedia","Ice Hockey"
"674","DBPedia","Ice Hockey"
"675","DBPedia","Volleyball"
"676","DBPedia","Handball"
"677","DBPedia","Handball"
"678","DBPedia","Volleyball"
"679","DBPedia","Ice Hockey"
"680","DBPedia","Ice Hockey"
"681","DBPedia","Ice Hockey"
"682","DBPedia","Volleyball"
"683","DBPedia","Ice Hockey"
"684","DBPedia","Field hockey"
"685","DBPedia","Basketball"
"686","DBPedia","Field hockey"
"687","DBPedia","Handball"
"688","DBPedia","Ice Hockey"
"689","DBPedia","Basketball"
"690","DBPedia","Handball"
"691","DBPedia","Volleyball"
"692","DBPedia","Ice Hockey"
"693","DBPedia","Handball"
"694","DBPedia","Handball"
"695","DBPedia","Field hockey"
"696","DBPedia","Handball"
"697","DBPedia","Basketball"
"698","DBPedia","Ice Hockey"
"699","DBPedia","Field hockey"
"700","DBPedia","Field hockey"
"701","DBPedia","Basketball"
"702","DBPedia","Field hockey"
"703","DBPedia","Handball"
"704","DBPedia","Ice Hockey"
"705","DBPedia","Handball"
"706","DBPedia","Field hockey"
"707","DBPedia","Ice Hockey"
"708","DBPedia","Field hockey"
"709","DBPedia","Ice Hockey"
"710","DBPedia","Basketball"
"711","DBPedia","Basketball"
"712","DBPedia","Field hockey"
"713","DBPedia","Handball"
"714","DBPedia","Basketball"
"715","DBPedia","Handball"
"716","DBPedia","Handball"
"717","DBPedia","Basketball"
"718","DBPedia","Field hockey"
"719","DBPedia","Volleyball"
"720","DBPedia","Field hockey"
"721","DBPedia","Volleyball"
"722","DBPedia","Volleyball"
"723","DBPedia","Volleyball"
"724","DBPedia","Field hockey"
"725","DBPedia","Ice Hockey"
"726","DBPedia","Volleyball"
"727","DBPedia","Handball"
"728","DBPedia","Handball"
"729","DBPedia","Ice Hockey"
"730","DBPedia","Volleyball"
"731","DBPedia","Handball"
"732","DBPedia","Ice Hockey"
"733","DBPedia","Basketball"
"734","DBPedia","Handball"
"735","DBPedia","Ice Hockey"
"736","DBPedia","Basketball"
"737","DBPedia","Basketball"
"738","DBPedia","Handball"
"739","DBPedia","Handball"
"740","DBPedia","Ice Hockey"
"741","DBPedia","Ice Hockey"
"742","DBPedia","Ice Hockey"
"743","DBPedia","Basketball"
"744","DBPedia","Volleyball"
"745","DBPedia","Ice Hockey"
"746","DBPedia","Volleyball"
"747","DBPedia","Handball"
"748","DBPedia","Basketball"
"749","DBPedia","Handball"
"750","DBPedia","Field hockey"
"751","DBPedia","Volleyball"
"752","DBPedia","Basketball"
"753","DBPedia","Field hockey"
"754","DBPedia","Volleyball"
"755","DBPedia","Handball"
"756","DBPedia","Field hockey"
"757","DBPedia","Ice Hockey"
"758","DBPedia","Ice Hockey"
"759","DBPedia","Field hockey"
"760","DBPedia","Basketball"
"761","DBPedia","Ice Hockey"
"762","DBPedia","Ice Hockey"
"763","DBPedia","Field hockey"
"764","DBPedia","Volleyball"
"765","DBPedia","Field hockey"
"766","DBPedia","Field hockey"
"767","DBPedia","Ice Hockey"
"768","DBPedia","Basketball"
"769","DBPedia","Ice Hockey"
"770","DBPedia","Basketball"
"771","DBPedia","Field hockey"
"772","DBPedia","Basketball"
"773","DBPedia","Volleyball"
"774","DBPedia","Volleyball"
"775","DBPedia","Ice Hockey"
"776","DBPedia","Ice Hockey"
"777","DBPedia","Basketball"
"778","DBPedia","Ice Hockey"
"779","DBPedia","Ice Hockey"
"780","DBPedia","Ice Hockey"
"781","DBPedia","Handball"
"782","DBPedia","Ice Hockey"
"783","DBPedia","Basketball"
"784","DBPedia","Basketball"
"785","DBPedia","Field hockey"
"786","DBPedia","Volleyball"
"787","DBPedia","Volleyball"
"788","DBPedia","Handball"
"789","DBPedia","Field hockey"
"790","DBPedia","Volleyball"
"791","DBPedia","Field hockey"
"792","DBPedia","Basketball"
"793","DBPedia","Field hockey"
"794","DBPedia","Ice Hockey"
"795","DBPedia","Volleyball"
"796","DBPedia","Ice Hockey"
"797","DBPedia","Ice Hockey"
"798","DBPedia","Volleyball"
"799","DBPedia","Basketball"
"800","DBPedia","Basketball"
"801","DBPedia","Volleyball"
"802","DBPedia","Basketball"
"803","DBPedia","Handball"
"804","DBPedia","Basketball"
"805","DBPedia","Ice Hockey"
"806","DBPedia","Field hockey"
"807","DBPedia","Handball"
"808","DBPedia","Ice Hockey"
"809","DBPedia","Field hockey"
"810","DBPedia","Ice Hockey"
"811","DBPedia","Field hockey"
"812","DBPedia","Volleyball"
"813","DBPedia","Handball"
"814","DBPedia","Handball"
"815","DBPedia","Handball"
"816","DBPedia","Volleyball"
"817","DBPedia","Handball"
"818","DBPedia","Volleyball"
"819","DBPedia","Ice Hockey"
"820","DBPedia","Basketball"
"821","DBPedia","Handball"
"822","DBPedia","Field hockey"
"823","DBPedia","Handball"
"824","DBPedia","Volleyball"
"825","DBPedia","Volleyball"
"826","DBPedia","Handball"
"827","DBPedia","Handball"
"828","DBPedia","Volleyball"
"829","DBPedia","Volleyball"
"830","DBPedia","Volleyball"
"831","DBPedia","Handball"
"832","DBPedia","Volleyball"
"833","DBPedia","Volleyball"
"834","DBPedia","Volleyball"
"835","DBPedia","Basketball"
"836","DBPedia","Volleyball"
"837","DBPedia","Handball"
"838","DBPedia","Volleyball"
"839","DBPedia","Handball"
"840","DBPedia","Volleyball"
"841","DBPedia","Basketball"
"842","DBPedia","Handball"
"843","DBPedia","Volleyball"
"844","DBPedia","Field hockey"
"845","DBPedia","Basketball"
"846","DBPedia","Volleyball"
"847","DBPedia","Handball"
"848","DBPedia","Ice Hockey"
"849","DBPedia","Volleyball"
"850","DBPedia","Handball"
"851","DBPedia","Field hockey"
"852","DBPedia","Field hockey"
