"","dataset","Sport"
"382","DBPedia","Field hockey"
"383","DBPedia","Volleyball"
"384","DBPedia","Field hockey"
"385","DBPedia","Field hockey"
"386","DBPedia","Handball"
"387","DBPedia","Field hockey"
"388","DBPedia","Handball"
"389","DBPedia","Volleyball"
"390","DBPedia","Ice Hockey"
"391","DBPedia","Ice Hockey"
"392","DBPedia","Field hockey"
"393","DBPedia","Volleyball"
"394","DBPedia","Basketball"
"395","DBPedia","Basketball"
"396","DBPedia","Handball"
"397","DBPedia","Volleyball"
"398","DBPedia","Handball"
"399","DBPedia","Ice Hockey"
"400","DBPedia","Basketball"
"401","DBPedia","Handball"
"402","DBPedia","Handball"
"403","DBPedia","Ice Hockey"
"404","DBPedia","Volleyball"
"405","DBPedia","Field hockey"
"406","DBPedia","Ice Hockey"
"407","DBPedia","Basketball"
"408","DBPedia","Ice Hockey"
"409","DBPedia","Handball"
"410","DBPedia","Field hockey"
"411","DBPedia","Handball"
"412","DBPedia","Handball"
"413","DBPedia","Volleyball"
"414","DBPedia","Handball"
"415","DBPedia","Volleyball"
"416","DBPedia","Handball"
"417","DBPedia","Handball"
"418","DBPedia","Handball"
"419","DBPedia","Ice Hockey"
"420","DBPedia","Handball"
"421","DBPedia","Ice Hockey"
"422","DBPedia","Ice Hockey"
"423","DBPedia","Handball"
"424","DBPedia","Volleyball"
"425","DBPedia","Field hockey"
"426","DBPedia","Field hockey"
"427","DBPedia","Field hockey"
"428","DBPedia","Basketball"
"429","DBPedia","Volleyball"
"430","DBPedia","Volleyball"
"431","DBPedia","Handball"
"432","DBPedia","Handball"
"433","DBPedia","Handball"
"434","DBPedia","Field hockey"
"435","DBPedia","Ice Hockey"
"436","DBPedia","Basketball"
"437","DBPedia","Volleyball"
"438","DBPedia","Handball"
"439","DBPedia","Ice Hockey"
"440","DBPedia","Field hockey"
"441","DBPedia","Handball"
"442","DBPedia","Ice Hockey"
"443","DBPedia","Ice Hockey"
"444","DBPedia","Volleyball"
"445","DBPedia","Handball"
"446","DBPedia","Ice Hockey"
"447","DBPedia","Handball"
"448","DBPedia","Volleyball"
"449","DBPedia","Ice Hockey"
"450","DBPedia","Handball"
"451","DBPedia","Ice Hockey"
"452","DBPedia","Basketball"
"453","DBPedia","Handball"
"454","DBPedia","Ice Hockey"
"455","DBPedia","Field hockey"
"456","DBPedia","Volleyball"
"457","DBPedia","Handball"
"458","DBPedia","Basketball"
"459","DBPedia","Ice Hockey"
"460","DBPedia","Volleyball"
"461","DBPedia","Ice Hockey"
"462","DBPedia","Field hockey"
"463","DBPedia","Handball"
"464","DBPedia","Ice Hockey"
"465","DBPedia","Handball"
"466","DBPedia","Handball"
"467","DBPedia","Volleyball"
"468","DBPedia","Ice Hockey"
"469","DBPedia","Ice Hockey"
"470","DBPedia","Ice Hockey"
"471","DBPedia","Volleyball"
"472","DBPedia","Ice Hockey"
"473","DBPedia","Field hockey"
"474","DBPedia","Volleyball"
"475","DBPedia","Volleyball"
"476","DBPedia","Handball"
"477","DBPedia","Basketball"
"478","DBPedia","Handball"
"479","DBPedia","Ice Hockey"
"480","DBPedia","Volleyball"
"481","DBPedia","Ice Hockey"
"482","DBPedia","Handball"
"483","DBPedia","Handball"
"484","DBPedia","Basketball"
"485","DBPedia","Ice Hockey"
"486","DBPedia","Handball"
"487","DBPedia","Field hockey"
"488","DBPedia","Ice Hockey"
"489","DBPedia","Field hockey"
"490","DBPedia","Handball"
"491","DBPedia","Handball"
"492","DBPedia","Handball"
"493","DBPedia","Ice Hockey"
"494","DBPedia","Basketball"
"495","DBPedia","Handball"
"496","DBPedia","Ice Hockey"
"497","DBPedia","Ice Hockey"
"498","DBPedia","Field hockey"
"499","DBPedia","Ice Hockey"
"500","DBPedia","Basketball"
"501","DBPedia","Handball"
"502","DBPedia","Handball"
"503","DBPedia","Handball"
"504","DBPedia","Volleyball"
"505","DBPedia","Handball"
"506","DBPedia","Field hockey"
"507","DBPedia","Ice Hockey"
"508","DBPedia","Field hockey"
"509","DBPedia","Handball"
"510","DBPedia","Basketball"
"511","DBPedia","Ice Hockey"
"512","DBPedia","Basketball"
"513","DBPedia","Handball"
"514","DBPedia","Handball"
"515","DBPedia","Ice Hockey"
"516","DBPedia","Ice Hockey"
"517","DBPedia","Basketball"
"518","DBPedia","Basketball"
"519","DBPedia","Volleyball"
"520","DBPedia","Ice Hockey"
"521","DBPedia","Ice Hockey"
"522","DBPedia","Handball"
"523","DBPedia","Ice Hockey"
"524","DBPedia","Volleyball"
"525","DBPedia","Ice Hockey"
"526","DBPedia","Field hockey"
"527","DBPedia","Handball"
"528","DBPedia","Ice Hockey"
"529","DBPedia","Field hockey"
"530","DBPedia","Field hockey"
"531","DBPedia","Basketball"
"532","DBPedia","Ice Hockey"
"533","DBPedia","Basketball"
"534","DBPedia","Field hockey"
"535","DBPedia","Handball"
"536","DBPedia","Basketball"
"537","DBPedia","Handball"
"538","DBPedia","Volleyball"
"539","DBPedia","Ice Hockey"
"540","DBPedia","Ice Hockey"
"541","DBPedia","Handball"
"542","DBPedia","Ice Hockey"
"543","DBPedia","Field hockey"
"544","DBPedia","Field hockey"
"545","DBPedia","Field hockey"
"546","DBPedia","Basketball"
"547","DBPedia","Ice Hockey"
"548","DBPedia","Ice Hockey"
"549","DBPedia","Handball"
"550","DBPedia","Handball"
"551","DBPedia","Ice Hockey"
"552","DBPedia","Handball"
"553","DBPedia","Field hockey"
"554","DBPedia","Ice Hockey"
"555","DBPedia","Basketball"
"556","DBPedia","Volleyball"
"557","DBPedia","Ice Hockey"
"558","DBPedia","Ice Hockey"
"559","DBPedia","Ice Hockey"
"560","DBPedia","Ice Hockey"
"561","DBPedia","Field hockey"
"562","DBPedia","Ice Hockey"
"563","DBPedia","Field hockey"
"564","DBPedia","Volleyball"
"565","DBPedia","Volleyball"
"566","DBPedia","Ice Hockey"
"567","DBPedia","Volleyball"
"568","DBPedia","Field hockey"
"569","DBPedia","Volleyball"
"570","DBPedia","Handball"
"571","DBPedia","Ice Hockey"
"572","DBPedia","Field hockey"
"573","DBPedia","Basketball"
"574","DBPedia","Volleyball"
"575","DBPedia","Ice Hockey"
"576","DBPedia","Ice Hockey"
"577","DBPedia","Field hockey"
"578","DBPedia","Field hockey"
"579","DBPedia","Field hockey"
"580","DBPedia","Volleyball"
"581","DBPedia","Field hockey"
"582","DBPedia","Basketball"
"583","DBPedia","Handball"
"584","DBPedia","Handball"
"585","DBPedia","Basketball"
"586","DBPedia","Field hockey"
"587","DBPedia","Ice Hockey"
"588","DBPedia","Volleyball"
"589","DBPedia","Ice Hockey"
"590","DBPedia","Field hockey"
"591","DBPedia","Volleyball"
"592","DBPedia","Field hockey"
"593","DBPedia","Field hockey"
"594","DBPedia","Volleyball"
"595","DBPedia","Ice Hockey"
"596","DBPedia","Handball"
"597","DBPedia","Volleyball"
"598","DBPedia","Ice Hockey"
"599","DBPedia","Handball"
"600","DBPedia","Field hockey"
"601","DBPedia","Volleyball"
"602","DBPedia","Ice Hockey"
"603","DBPedia","Handball"
"604","DBPedia","Ice Hockey"
"605","DBPedia","Ice Hockey"
"606","DBPedia","Ice Hockey"
"607","DBPedia","Ice Hockey"
"608","DBPedia","Ice Hockey"
"609","DBPedia","Ice Hockey"
"610","DBPedia","Field hockey"
"611","DBPedia","Handball"
"612","DBPedia","Ice Hockey"
"613","DBPedia","Basketball"
"614","DBPedia","Handball"
"615","DBPedia","Ice Hockey"
"616","DBPedia","Basketball"
"617","DBPedia","Field hockey"
"618","DBPedia","Volleyball"
"619","DBPedia","Handball"
"620","DBPedia","Volleyball"
"621","DBPedia","Ice Hockey"
"622","DBPedia","Volleyball"
"623","DBPedia","Ice Hockey"
"624","DBPedia","Handball"
"625","DBPedia","Basketball"
"626","DBPedia","Ice Hockey"
"627","DBPedia","Basketball"
"628","DBPedia","Volleyball"
"629","DBPedia","Field hockey"
"630","DBPedia","Volleyball"
"631","DBPedia","Volleyball"
"632","DBPedia","Handball"
"633","DBPedia","Field hockey"
"634","DBPedia","Volleyball"
"635","DBPedia","Handball"
"636","DBPedia","Handball"
"637","DBPedia","Volleyball"
"638","DBPedia","Handball"
"639","DBPedia","Basketball"
"640","DBPedia","Ice Hockey"
"641","DBPedia","Handball"
"642","DBPedia","Ice Hockey"
"643","DBPedia","Basketball"
"644","DBPedia","Volleyball"
"645","DBPedia","Volleyball"
"646","DBPedia","Volleyball"
"647","DBPedia","Volleyball"
"648","DBPedia","Handball"
"649","DBPedia","Handball"
"650","DBPedia","Volleyball"
"651","DBPedia","Field hockey"
"652","DBPedia","Volleyball"
"653","DBPedia","Handball"
"654","DBPedia","Basketball"
"655","DBPedia","Ice Hockey"
"656","DBPedia","Field hockey"
"657","DBPedia","Handball"
"658","DBPedia","Handball"
"659","DBPedia","Volleyball"
"660","DBPedia","Field hockey"
"661","DBPedia","Basketball"
"662","DBPedia","Handball"
"663","DBPedia","Ice Hockey"
"664","DBPedia","Ice Hockey"
"665","DBPedia","Ice Hockey"
"666","DBPedia","Basketball"
"667","DBPedia","Field hockey"
"668","DBPedia","Handball"
"669","DBPedia","Field hockey"
"670","DBPedia","Ice Hockey"
"671","DBPedia","Handball"
"672","DBPedia","Volleyball"
"673","DBPedia","Ice Hockey"
"674","DBPedia","Field hockey"
"675","DBPedia","Volleyball"
"676","DBPedia","Handball"
"677","DBPedia","Ice Hockey"
"678","DBPedia","Field hockey"
"679","DBPedia","Ice Hockey"
"680","DBPedia","Ice Hockey"
"681","DBPedia","Field hockey"
"682","DBPedia","Ice Hockey"
"683","DBPedia","Basketball"
"684","DBPedia","Handball"
"685","DBPedia","Handball"
"686","DBPedia","Field hockey"
"687","DBPedia","Field hockey"
"688","DBPedia","Handball"
"689","DBPedia","Field hockey"
"690","DBPedia","Basketball"
"691","DBPedia","Field hockey"
"692","DBPedia","Ice Hockey"
"693","DBPedia","Ice Hockey"
"694","DBPedia","Field hockey"
"695","DBPedia","Basketball"
"696","DBPedia","Volleyball"
"697","DBPedia","Ice Hockey"
"698","DBPedia","Field hockey"
"699","DBPedia","Volleyball"
"700","DBPedia","Field hockey"
"701","DBPedia","Field hockey"
"702","DBPedia","Volleyball"
"703","DBPedia","Basketball"
"704","DBPedia","Volleyball"
"705","DBPedia","Ice Hockey"
"706","DBPedia","Volleyball"
"707","DBPedia","Ice Hockey"
"708","DBPedia","Handball"
"709","DBPedia","Ice Hockey"
"710","DBPedia","Handball"
"711","DBPedia","Volleyball"
"712","DBPedia","Volleyball"
"713","DBPedia","Field hockey"
"714","DBPedia","Ice Hockey"
"715","DBPedia","Basketball"
"716","DBPedia","Handball"
"717","DBPedia","Ice Hockey"
"718","DBPedia","Handball"
"719","DBPedia","Handball"
"720","DBPedia","Basketball"
"721","DBPedia","Handball"
"722","DBPedia","Field hockey"
"723","DBPedia","Volleyball"
"724","DBPedia","Handball"
"725","DBPedia","Field hockey"
"726","DBPedia","Handball"
"727","DBPedia","Ice Hockey"
"728","DBPedia","Ice Hockey"
"729","DBPedia","Volleyball"
"730","DBPedia","Handball"
"731","DBPedia","Ice Hockey"
"732","DBPedia","Handball"
"733","DBPedia","Volleyball"
"734","DBPedia","Ice Hockey"
"735","DBPedia","Handball"
"736","DBPedia","Basketball"
"737","DBPedia","Ice Hockey"
"738","DBPedia","Ice Hockey"
"739","DBPedia","Field hockey"
"740","DBPedia","Ice Hockey"
"741","DBPedia","Handball"
"742","DBPedia","Ice Hockey"
"743","DBPedia","Basketball"
"744","DBPedia","Handball"
"745","DBPedia","Ice Hockey"
"746","DBPedia","Handball"
