ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BirthYear
772,"Michael B. ""Mike"" Adam",M,24,175,95,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold,1982
775,Otto Adam,M,26,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze,1910
777,Pierre Louis Eugne Adam,M,24,NA,NA,France,FRA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,1924
785,Dariusz Adamczuk,M,22,179,78,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver,1970
807,"Benjamin Willard ""Ben"" Adams",M,22,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver,1890
813,Edgar Holmes Adams,M,36,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver,1868
818,Harry Lester Adams,M,31,NA,NA,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold,1881
830,Adrian Neil Adams,M,21,178,78,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver,1959
832,Nicola Virginia Adams,F,29,164,51,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold,1983
836,Platt Adams,M,27,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold,1885
837,Rachael Alexis Adams,F,26,188,81,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze,1990
840,"Victoria ""Vicki"" Adams",F,24,164,69,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze,1990
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold,1985
849,Filip Kamil Adamski,M,29,189,87,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold,1983
850,Herbert Adamski,M,26,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold,1910
851,Jerzy Adamski,M,23,171,58,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver,1937
882,Simon Addo,M,17,180,79,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze,1975
896,Olubayo Adefemi,M,22,181,82,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,1986
908,"Ayodele ""Dele"" Adeleye",M,19,190,80,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,1989
918,Ademir Roque Kaefer,M,24,179,74,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver,1960
923,Olapade Charles Adeniken,M,22,186,78,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,1970
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold,1987
